contact_id,prospect_id,score,priority_tier,email,contact_name,institution,segment,role_or_unit,template_id,subject,sender,landing_url,source_url,body_text,send_status,notes
agora-public-20260501-001,prospect-20260501-001,92,A1,cleo@lasalle.edu.co,CLEO Centro de Lectura Escritura y Oralidad,Universidad de La Salle,centro de escritura,centro transversal lectura escritura oralidad,wave4-centros-escritura,Demo breve para acompanar lectura y escritura academica,ventas@elenxos.com,https://agora.elenxos.com/,https://lasalle.edu.co/es/centro-de-lectura-y-oralidad-cleo,"Hola, equipo de CLEO Centro de Lectura Escritura y Oralidad.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi que CLEO Centro de Lectura Escritura y Oralidad acompana procesos de lectura, escritura u oralidad con estudiantes y docentes.
Por eso pense que una demo breve podria servirles para evaluar si Agora ayuda a centralizar recursos, borradores, evidencias de acompanamiento y trabajo entre el equipo.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos o que les envie primero un ejemplo de workspace aplicado a un centro de escritura?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-002,prospect-20260501-002,91,A1,celoa@usc.edu.co,CELOA Centro de Escritura Lectura y Oralidad Academica,Universidad Santiago de Cali,centro de escritura,centro de bienestar y competencias comunicativas,wave4-centros-escritura,Demo breve para acompanar lectura y escritura academica,ventas@elenxos.com,https://agora.elenxos.com/,https://www.usc.edu.co/centro-de-escritura-lectura-y-oralidad-academica/,"Hola, equipo de CELOA Centro de Escritura Lectura y Oralidad Academica.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi que CELOA Centro de Escritura Lectura y Oralidad Academica acompana procesos de lectura, escritura u oralidad con estudiantes y docentes.
Por eso pense que una demo breve podria servirles para evaluar si Agora ayuda a centralizar recursos, borradores, evidencias de acompanamiento y trabajo entre el equipo.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos o que les envie primero un ejemplo de workspace aplicado a un centro de escritura?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-003,prospect-20260501-003,90,A1,centroescritura@unicauca.edu.co,Centro de Escritura Unicauca,Universidad del Cauca,centro de escritura,programa de fonoaudiologia y apoyo academico,wave4-centros-escritura,Demo breve para acompanar lectura y escritura academica,ventas@elenxos.com,https://agora.elenxos.com/,https://portal.unicauca.edu.co/versionP/Oferta%20Acad%C3%A9mica/Fonoaudiolog%C3%ADa/Centro%20de%20Escritura,"Hola, equipo de Centro de Escritura Unicauca.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi que Centro de Escritura Unicauca acompana procesos de lectura, escritura u oralidad con estudiantes y docentes.
Por eso pense que una demo breve podria servirles para evaluar si Agora ayuda a centralizar recursos, borradores, evidencias de acompanamiento y trabajo entre el equipo.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos o que les envie primero un ejemplo de workspace aplicado a un centro de escritura?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-004,prospect-20260501-004,89,A1,jjrodriguez@poligran.edu.co,CELEO Centro de Lectura Escritura Oralidad y Apropiacion de la Ciencia,Politecnico Grancolombiano,centro de lectura escritura,lider centro,wave4-centros-escritura,Demo breve para acompanar lectura y escritura academica,ventas@elenxos.com,https://agora.elenxos.com/,https://www.poli.edu.co/en/node/52878,"Hola, equipo de CELEO Centro de Lectura Escritura Oralidad y Apropiacion de la Ciencia.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi que CELEO Centro de Lectura Escritura Oralidad y Apropiacion de la Ciencia acompana procesos de lectura, escritura u oralidad con estudiantes y docentes.
Por eso pense que una demo breve podria servirles para evaluar si Agora ayuda a centralizar recursos, borradores, evidencias de acompanamiento y trabajo entre el equipo.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos o que les envie primero un ejemplo de workspace aplicado a un centro de escritura?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-005,prospect-20260501-005,86,A1,angelica.gonzalez@ugc.edu.co,Lenguajes Viajeros,Universidad La Gran Colombia,semillero,semillero de estudios literarios y humanisticos,wave4-semilleros,Workspace para semilleros de literatura y lenguaje,ventas@elenxos.com,https://agora.elenxos.com/,https://www.ugc.edu.co/sede/bogota/documentos/investigaciones/informacion-semilleros-convocatoria-permanente.pdf,"Hola, equipo de Lenguajes Viajeros.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi el trabajo de Lenguajes Viajeros y su relacion con lectura, lenguaje, escritura o investigacion formativa.
Me parecio un caso cercano porque en los semilleros suele ser dificil sostener continuidad entre reuniones, documentos, fuentes, avances y productos.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo breve o un ejemplo de workspace para semillero de investigacion?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-006,prospect-20260501-006,84,A1,centro.escritura@amigo.edu.co,Centro de Escritura Luis Amigo,Universidad Catolica Luis Amigo,centro de escritura,centro institucional LEO,wave4-centros-escritura,Demo breve para acompanar lectura y escritura academica,ventas@elenxos.com,https://agora.elenxos.com/,https://www.funlam.edu.co/uploads/departamentobiblioteca/320_Iniciativas_LEO.pdf,"Hola, equipo de Centro de Escritura Luis Amigo.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi que Centro de Escritura Luis Amigo acompana procesos de lectura, escritura u oralidad con estudiantes y docentes.
Por eso pense que una demo breve podria servirles para evaluar si Agora ayuda a centralizar recursos, borradores, evidencias de acompanamiento y trabajo entre el equipo.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos o que les envie primero un ejemplo de workspace aplicado a un centro de escritura?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-007,prospect-20260501-007,82,A2,yoana.pinzon@ugc.edu.co,Teaching and Learning for Multiliteracies,Universidad La Gran Colombia,semillero,semillero de lenguas extranjeras,wave4-semilleros,Workspace para semilleros de literatura y lenguaje,ventas@elenxos.com,https://agora.elenxos.com/,https://www.ugc.edu.co/sede/bogota/documentos/investigaciones/informacion-semilleros-convocatoria-permanente.pdf,"Hola, equipo de Teaching and Learning for Multiliteracies.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi el trabajo de Teaching and Learning for Multiliteracies y su relacion con lectura, lenguaje, escritura o investigacion formativa.
Me parecio un caso cercano porque en los semilleros suele ser dificil sostener continuidad entre reuniones, documentos, fuentes, avances y productos.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo breve o un ejemplo de workspace para semillero de investigacion?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-008,prospect-20260501-008,81,A2,bperafan@uniandes.edu.co,Semillero Lenguaje Claro,Universidad de los Andes,semillero,semillero interdisciplinar lenguaje claro,wave4-semilleros,Workspace para semilleros de literatura y lenguaje,ventas@elenxos.com,https://agora.elenxos.com/,https://derecho.uniandes.edu.co/semilleros-de-investigacion/lenguaje-claro/,"Hola, equipo de Semillero Lenguaje Claro.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi el trabajo de Semillero Lenguaje Claro y su relacion con lectura, lenguaje, escritura o investigacion formativa.
Me parecio un caso cercano porque en los semilleros suele ser dificil sostener continuidad entre reuniones, documentos, fuentes, avances y productos.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo breve o un ejemplo de workspace para semillero de investigacion?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-009,prospect-20260501-009,78,A2,estudiostransversales@ucentral.edu.co,Revista Esteticas,Universidad Central,revista,Escuela de Estudios Transversales,wave4-revistas,Trazabilidad ligera para flujo editorial universitario,ventas@elenxos.com,https://agora.elenxos.com/,https://www.ucentral.edu.co/eet/revista-esteticas,"Hola, equipo de Revista Esteticas.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi el trabajo editorial de Revista Esteticas.
Pensamos que Agora podria servir como apoyo liviano para ordenar documentos, decisiones, fuentes y seguimiento de textos sin reemplazar su sistema editorial principal.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos enfocada en flujo editorial universitario?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
agora-public-20260501-010,prospect-20260501-010,76,A2,jpuello@utb.edu.co,Centro de Escritura en Ingles UTB,Universidad Tecnologica de Bolivar,centro de escritura,centro de idiomas,wave4-centros-escritura,Demo breve para acompanar lectura y escritura academica,ventas@elenxos.com,https://agora.elenxos.com/,https://www.utb.edu.co/utb-global/centro-de-idiomas/centro-de-escritura/,"Hola, equipo de Centro de Escritura en Ingles UTB.

Soy Steven Vallejo, de Elenxos, equipo nacido desde la Universidad de Antioquia. Estamos construyendo Agora, una herramienta para ordenar lectura, escritura, fuentes, acuerdos y seguimiento en procesos academicos colaborativos.

Vi que Centro de Escritura en Ingles UTB acompana procesos de lectura, escritura u oralidad con estudiantes y docentes.
Por eso pense que una demo breve podria servirles para evaluar si Agora ayuda a centralizar recursos, borradores, evidencias de acompanamiento y trabajo entre el equipo.

Sitios oficiales:
https://www.elenxos.com/
https://agora.elenxos.com/

Les interesaria una demo de 15 minutos o que les envie primero un ejemplo de workspace aplicado a un centro de escritura?",draft_review,No enviado. No importar ni enviar hasta aprobar wave 4.
