contact_id,source_dataset,legacy_priority_rank,brand,domain_objetivo,contact_name,organization,institution,city,segment,role_or_unit,contact_channel,contact_value,quick_contact_url,source_url,status,last_contact_date,next_action,next_action_date,reply_status,owner,last_sender_email,last_sender_identity,last_campaign,last_subject,landing_url_sent,declaration_required,declaration_status,erp_doctype,erp_lead_id,erp_sync_status,erp_synced_at,erp_sync_notes,launch_wave,tags,notes
agora-public-20260501-001,prospeccion-publica-2026-05-01.csv,401,Agora,https://agora.elenxos.com/,CLEO Centro de Lectura Escritura y Oralidad,Universidad de La Salle,Universidad de La Salle,Bogota,centro de escritura,centro transversal lectura escritura oralidad,email,cleo@lasalle.edu.co,mailto:cleo@lasalle.edu.co,https://lasalle.edu.co/es/centro-de-lectura-y-oralidad-cleo,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a1,centro_de_escritura,centro_escritura",Score 92 | tier A1 | evidencia: Fuente publica indica contacto CLEO y lineas de tutoria talleres investigacion y formacion docente | dolor: seguimiento de tutorias materiales y evidencias de formacion | oferta: workspace Agora para tutorias talleres y recursos de escritura | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-002,prospeccion-publica-2026-05-01.csv,402,Agora,https://agora.elenxos.com/,CELOA Centro de Escritura Lectura y Oralidad Academica,Universidad Santiago de Cali,Universidad Santiago de Cali,Cali,centro de escritura,centro de bienestar y competencias comunicativas,email,celoa@usc.edu.co,mailto:celoa@usc.edu.co,https://www.usc.edu.co/centro-de-escritura-lectura-y-oralidad-academica/,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a1,centro_de_escritura,centro_escritura",Score 91 | tier A1 | evidencia: Fuente publica indica CELOA con asesorias talleres y correo celoa@usc.edu.co | dolor: organizar asesorias talleres y seguimiento de lectura escritura oralidad | oferta: workspace Agora para acompanamiento y evidencias de progreso | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-003,prospeccion-publica-2026-05-01.csv,403,Agora,https://agora.elenxos.com/,Centro de Escritura Unicauca,Universidad del Cauca,Universidad del Cauca,Popayan,centro de escritura,programa de fonoaudiologia y apoyo academico,email,centroescritura@unicauca.edu.co,mailto:centroescritura@unicauca.edu.co,https://portal.unicauca.edu.co/versionP/Oferta%20Acad%C3%A9mica/Fonoaudiolog%C3%ADa/Centro%20de%20Escritura,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a1,centro_de_escritura,centro_escritura",Score 90 | tier A1 | evidencia: Fuente publica indica apoyo en lectura escritura academica y oralidad mas correo institucional | dolor: trazabilidad de tutorias y recursos de escritura academica | oferta: workspace Agora para acompanamiento y archivo de casos | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-004,prospeccion-publica-2026-05-01.csv,404,Agora,https://agora.elenxos.com/,CELEO Centro de Lectura Escritura Oralidad y Apropiacion de la Ciencia,Politecnico Grancolombiano,Politecnico Grancolombiano,Bogota,centro de lectura escritura,lider centro,email,jjrodriguez@poligran.edu.co,mailto:jjrodriguez@poligran.edu.co,https://www.poli.edu.co/en/node/52878,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a1,centro_de_lectura_escritura,centro_escritura",Score 89 | tier A1 | evidencia: Fuente publica indica CELEO y lider Jenny Juliana Jimenez con correo | dolor: coordinar proyectos recursos y actividades de lectura escritura y oralidad | oferta: workspace Agora para proyectos talleres y documentacion academica | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-005,prospeccion-publica-2026-05-01.csv,405,Agora,https://agora.elenxos.com/,Lenguajes Viajeros,Universidad La Gran Colombia,Universidad La Gran Colombia,Bogota,semillero,semillero de estudios literarios y humanisticos,email,angelica.gonzalez@ugc.edu.co,mailto:angelica.gonzalez@ugc.edu.co,https://www.ugc.edu.co/sede/bogota/documentos/investigaciones/informacion-semilleros-convocatoria-permanente.pdf,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a1,semillero,semillero",Score 86 | tier A1 | evidencia: Fuente publica lista semillero Lenguajes viajeros y correo de lider | dolor: gestionar lecturas proyectos y productos de investigacion estudiantil | oferta: workspace Agora para semillero con fuentes acuerdos y articulos | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-006,prospeccion-publica-2026-05-01.csv,406,Agora,https://agora.elenxos.com/,Centro de Escritura Luis Amigo,Universidad Catolica Luis Amigo,Universidad Catolica Luis Amigo,Medellin,centro de escritura,centro institucional LEO,email,centro.escritura@amigo.edu.co,mailto:centro.escritura@amigo.edu.co,https://www.funlam.edu.co/uploads/departamentobiblioteca/320_Iniciativas_LEO.pdf,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a1,centro_de_escritura,centro_escritura",Score 84 | tier A1 | evidencia: Fuente institucional LEO indica correo centro.escritura@amigo.edu.co | dolor: seguimiento de talleres de escritura y acompanamiento academico | oferta: workspace Agora para talleres seguimiento y biblioteca de recursos | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-007,prospeccion-publica-2026-05-01.csv,407,Agora,https://agora.elenxos.com/,Teaching and Learning for Multiliteracies,Universidad La Gran Colombia,Universidad La Gran Colombia,Bogota,semillero,semillero de lenguas extranjeras,email,yoana.pinzon@ugc.edu.co,mailto:yoana.pinzon@ugc.edu.co,https://www.ugc.edu.co/sede/bogota/documentos/investigaciones/informacion-semilleros-convocatoria-permanente.pdf,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a2,semillero,semillero",Score 82 | tier A2 | evidencia: Fuente publica lista semillero Teaching and Learning for Multiliteracies y correo de lider | dolor: organizar lecturas evidencias y actividades de investigacion en lenguas | oferta: workspace Agora para literacidades y proyectos de semillero | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-008,prospeccion-publica-2026-05-01.csv,408,Agora,https://agora.elenxos.com/,Semillero Lenguaje Claro,Universidad de los Andes,Universidad de los Andes,Bogota,semillero,semillero interdisciplinar lenguaje claro,email,bperafan@uniandes.edu.co,mailto:bperafan@uniandes.edu.co,https://derecho.uniandes.edu.co/semilleros-de-investigacion/lenguaje-claro/,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a2,semillero,semillero",Score 81 | tier A2 | evidencia: Fuente publica indica directora Betsy Perafan y correo bperafan@uniandes.edu.co | dolor: ordenar informacion lectura y redaccion clara en proyectos colaborativos | oferta: workspace Agora para corpus fuentes y escritura clara | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-009,prospeccion-publica-2026-05-01.csv,409,Agora,https://agora.elenxos.com/,Revista Esteticas,Universidad Central,Universidad Central,Bogota,revista,Escuela de Estudios Transversales,email,estudiostransversales@ucentral.edu.co,mailto:estudiostransversales@ucentral.edu.co,https://www.ucentral.edu.co/eet/revista-esteticas,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a2,revista,revista",Score 78 | tier A2 | evidencia: Fuente publica indica revista Esteticas y correo de la dependencia | dolor: flujo editorial archivo y revision de textos academicos | oferta: workspace Agora para flujo editorial ligero y archivo de fuentes | Candidato wave 4; no enviar ni importar sin aprobacion.
agora-public-20260501-010,prospeccion-publica-2026-05-01.csv,410,Agora,https://agora.elenxos.com/,Centro de Escritura en Ingles UTB,Universidad Tecnologica de Bolivar,Universidad Tecnologica de Bolivar,Cartagena,centro de escritura,centro de idiomas,email,jpuello@utb.edu.co,mailto:jpuello@utb.edu.co,https://www.utb.edu.co/utb-global/centro-de-idiomas/centro-de-escritura/,new_prospect_pending_review,,"revisar prospecto, guardar en ERP y preparar primer contacto",2026-05-05,not_sent,,,,,,,no,not_applicable,Lead,,pending,,,wave_4_public_research,"public_research,wave_4_candidate,a2,centro_de_escritura,centro_escritura",Score 76 | tier A2 | evidencia: Fuente publica indica centro de escritura en ingles y correo jpuello@utb.edu.co | dolor: acompanar escritura academica en ingles y trazabilidad de asesorias | oferta: workspace Agora para borradores fuentes y revision guiada | Candidato wave 4; no enviar ni importar sin aprobacion.
