prospect_id,score,priority_tier,institution,city,segment,contact_name,role_or_unit,contact_type,contact_value,quick_contact_url,source_url,source_evidence,dolor_probable,oferta_sugerida,estado,next_action,notes
prospect-20260501-001,92,A1,Universidad de La Salle,Bogota,centro de escritura,CLEO Centro de Lectura Escritura y Oralidad,centro transversal lectura escritura oralidad,email,cleo@lasalle.edu.co,mailto:cleo@lasalle.edu.co,https://lasalle.edu.co/es/centro-de-lectura-y-oralidad-cleo,"Fuente publica indica contacto CLEO y lineas de tutoria talleres investigacion y formacion docente",seguimiento de tutorias materiales y evidencias de formacion,workspace Agora para tutorias talleres y recursos de escritura,ready_for_review,preparar primer contacto personalizado,ICP fuerte por centro transversal con docentes estudiantes e investigacion
prospect-20260501-002,91,A1,Universidad Santiago de Cali,Cali,centro de escritura,CELOA Centro de Escritura Lectura y Oralidad Academica,centro de bienestar y competencias comunicativas,email,celoa@usc.edu.co,mailto:celoa@usc.edu.co,https://www.usc.edu.co/centro-de-escritura-lectura-y-oralidad-academica/,"Fuente publica indica CELOA con asesorias talleres y correo celoa@usc.edu.co",organizar asesorias talleres y seguimiento de lectura escritura oralidad,workspace Agora para acompanamiento y evidencias de progreso,ready_for_review,preparar primer contacto personalizado,ICP fuerte por servicio transversal presencial y virtual
prospect-20260501-003,90,A1,Universidad del Cauca,Popayan,centro de escritura,Centro de Escritura Unicauca,programa de fonoaudiologia y apoyo academico,email,centroescritura@unicauca.edu.co,mailto:centroescritura@unicauca.edu.co,https://portal.unicauca.edu.co/versionP/Oferta%20Acad%C3%A9mica/Fonoaudiolog%C3%ADa/Centro%20de%20Escritura,"Fuente publica indica apoyo en lectura escritura academica y oralidad mas correo institucional",trazabilidad de tutorias y recursos de escritura academica,workspace Agora para acompanamiento y archivo de casos,ready_for_review,preparar primer contacto personalizado,ICP fuerte con mas de una sede y servicio maduro
prospect-20260501-004,89,A1,Politecnico Grancolombiano,Bogota,centro de lectura escritura,CELEO Centro de Lectura Escritura Oralidad y Apropiacion de la Ciencia,lider centro,email,jjrodriguez@poligran.edu.co,mailto:jjrodriguez@poligran.edu.co,https://www.poli.edu.co/en/node/52878,"Fuente publica indica CELEO y lider Jenny Juliana Jimenez con correo",coordinar proyectos recursos y actividades de lectura escritura y oralidad,workspace Agora para proyectos talleres y documentacion academica,ready_for_review,preparar primer contacto personalizado,ICP fuerte por centro multidisciplinar y apropiacion de ciencia
prospect-20260501-005,86,A1,Universidad La Gran Colombia,Bogota,semillero,Lenguajes Viajeros,semillero de estudios literarios y humanisticos,email,angelica.gonzalez@ugc.edu.co,mailto:angelica.gonzalez@ugc.edu.co,https://www.ugc.edu.co/sede/bogota/documentos/investigaciones/informacion-semilleros-convocatoria-permanente.pdf,"Fuente publica lista semillero Lenguajes viajeros y correo de lider",gestionar lecturas proyectos y productos de investigacion estudiantil,workspace Agora para semillero con fuentes acuerdos y articulos,ready_for_review,preparar primer contacto personalizado,ICP fuerte por literatura humanidades y semillero activo
prospect-20260501-006,84,A1,Universidad Catolica Luis Amigo,Medellin,centro de escritura,Centro de Escritura Luis Amigo,centro institucional LEO,email,centro.escritura@amigo.edu.co,mailto:centro.escritura@amigo.edu.co,https://www.funlam.edu.co/uploads/departamentobiblioteca/320_Iniciativas_LEO.pdf,"Fuente institucional LEO indica correo centro.escritura@amigo.edu.co",seguimiento de talleres de escritura y acompanamiento academico,workspace Agora para talleres seguimiento y biblioteca de recursos,ready_for_review,preparar primer contacto personalizado,ICP fuerte local Medellin y centro transversal
prospect-20260501-007,82,A2,Universidad La Gran Colombia,Bogota,semillero,Teaching and Learning for Multiliteracies,semillero de lenguas extranjeras,email,yoana.pinzon@ugc.edu.co,mailto:yoana.pinzon@ugc.edu.co,https://www.ugc.edu.co/sede/bogota/documentos/investigaciones/informacion-semilleros-convocatoria-permanente.pdf,"Fuente publica lista semillero Teaching and Learning for Multiliteracies y correo de lider",organizar lecturas evidencias y actividades de investigacion en lenguas,workspace Agora para literacidades y proyectos de semillero,ready_for_review,preparar primer contacto personalizado,Buen encaje por literacidades y docencia
prospect-20260501-008,81,A2,Universidad de los Andes,Bogota,semillero,Semillero Lenguaje Claro,semillero interdisciplinar lenguaje claro,email,bperafan@uniandes.edu.co,mailto:bperafan@uniandes.edu.co,https://derecho.uniandes.edu.co/semilleros-de-investigacion/lenguaje-claro/,"Fuente publica indica directora Betsy Perafan y correo bperafan@uniandes.edu.co",ordenar informacion lectura y redaccion clara en proyectos colaborativos,workspace Agora para corpus fuentes y escritura clara,ready_for_review,preparar primer contacto personalizado,Nuevo nodo Uniandes fuera de literatura ya contactada
prospect-20260501-009,78,A2,Universidad Central,Bogota,revista,Revista Esteticas,Escuela de Estudios Transversales,email,estudiostransversales@ucentral.edu.co,mailto:estudiostransversales@ucentral.edu.co,https://www.ucentral.edu.co/eet/revista-esteticas,"Fuente publica indica revista Esteticas y correo de la dependencia",flujo editorial archivo y revision de textos academicos,workspace Agora para flujo editorial ligero y archivo de fuentes,ready_for_review,preparar primer contacto personalizado,Buen encaje por revista humanidades arte y escuela transversal
prospect-20260501-010,76,A2,Universidad Tecnologica de Bolivar,Cartagena,centro de escritura,Centro de Escritura en Ingles UTB,centro de idiomas,email,jpuello@utb.edu.co,mailto:jpuello@utb.edu.co,https://www.utb.edu.co/utb-global/centro-de-idiomas/centro-de-escritura/,"Fuente publica indica centro de escritura en ingles y correo jpuello@utb.edu.co",acompanar escritura academica en ingles y trazabilidad de asesorias,workspace Agora para borradores fuentes y revision guiada,ready_for_review,preparar primer contacto personalizado,Encaje medio alto por escritura academica aunque el foco es ingles
